TaskID,TaskName,resource_type,SectionID,SectionName,OEM,Completed,Project_Name
1198700174066952,Review OEM (Volkswagen) Site + Check Dropbox,task,1199344102954864,Audit,Volkswagen,True,December National Incentives
1198735534903993,Review OEM (Volvo) Site + Check Dropbox,task,1199344102954864,Audit,Volvo,True,December National Incentives
1198735537912688,Review OEM (Toyota) Site + Check Dropbox,task,1199344102954864,Audit,Toyota,True,December National Incentives
1198700177470473,Review OEM (Subaru) Site + Check Dropbox,task,1199344102954864,Audit,Subaru,True,December National Incentives
1198700175927459,Review OEM (Porsche) Site + Check Dropbox,task,1199344102954864,Audit,Porsche,True,December National Incentives
1198700177266772,Review OEM (Nissan) Site + Check Dropbox,task,1199344102954864,Audit,Nissan,True,December National Incentives
1198700176757498,Review OEM (MINI) Site + Check Dropbox,task,1199344102954864,Audit,MINI,True,December National Incentives
1198700174445799,Review OEM (Mercedes) Site + Check Dropbox,task,1199344102954864,Audit,Mercedes,True,December National Incentives
1198700175386202,Review OEM (Mazda) Site + Check Dropbox,task,1199344102954864,Audit,Mazda,True,December National Incentives
1198700176429411,Review OEM (Lincoln) Site + Check Dropbox,task,1199344102954864,Audit,Lincoln,True,December National Incentives
1198844209305669,Review OEM (Lexus) Site + Check Dropbox,task,1199344102954864,Audit,Lexus,True,December National Incentives
1198844217624224,Review OEM (Land Rover) Site + Check Dropbox,task,1199344102954864,Audit,Land Rover,True,December National Incentives
1198735536963513,Review OEM (Kia) Site + Check Dropbox,task,1199344102954864,Audit,Kia,True,December National Incentives
1198700175996712,Review OEM (Jaguar) Site + Check Dropbox,task,1199344102954864,Audit,Jaguar,True,December National Incentives
1198844216444408,Review OEM (Hyundai) Site + Check Dropbox,task,1199344102954864,Audit,Hyundai,True,December National Incentives
1198700170110426,Review OEM (Honda) Site + Check Dropbox,task,1199344102954864,Audit,Honda,True,December National Incentives
1198700175882467,Review OEM (Genesis) Site + Check Dropbox,task,1199344102954864,Audit,Genesis,True,December National Incentives
1198735536155048,Review OEM (Ford) Site + Check Dropbox,task,1199344102954864,Audit,Ford,True,December National Incentives
1198700175454365,Review OEM (Chevrolet) Site + Check Dropbox,task,1199344102954864,Audit,Chevrolet,True,December National Incentives
1198844213385565,Review OEM (CDJRF) Site + Check Dropbox,task,1199344102954864,Audit,CDJRF,True,December National Incentives
1198700174235948,Review OEM (Cadillac) Site + Check Dropbox,task,1199344102954864,Audit,Cadillac,True,December National Incentives
1198844216325364,Review OEM (Buick GMC) Site + Check Dropbox,task,1199344102954864,Audit,Buick GMC,True,December National Incentives
1198700174796612,Review OEM (BMW) Site + Check Dropbox,task,1199344102954864,Audit,BMW,True,December National Incentives
1198735531127707,Review OEM (Audi) Site + Check Dropbox,task,1199344102954864,Audit,Audi,True,December National Incentives
1198735535531519,Review OEM (Acura) Site + Check Dropbox,task,1199344102954864,Audit,Acura,True,December National Incentives
1199515659380840,TEMPLATE Generic Sales Event MO,task,1199344102954865,Creative Updates,,False,December National Incentives
1199516382830165,TEMPLATE OEM Incentive MO,task,1199344102954865,Creative Updates,,False,December National Incentives
1199515659380864,Ford Generic Sales Event MO ,task,1199344102954865,Creative Updates,Ford,False,December National Incentives
1199515659380858,Kia Generic Sales Event MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Kia,False,December National Incentives
1199515659380862,Lexus Generic Sales Event MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Lexus,False,December National Incentives
1199515526835979,Volvo OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Volvo,False,December National Incentives
1199516382830169,Buick GMC OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Buick GMC,False,December National Incentives
1199515526835989,Subaru OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Subaru,False,December National Incentives
1199515526835991,Volkswagen OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Volkswagen,False,December National Incentives
1199515526835987,Toyota OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Toyota,False,December National Incentives
1199516084497438,Hyundai OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Hyundai,False,December National Incentives
1199516084497449,CDJRF OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,CDJRF,False,December National Incentives
1199516382830158,Chevrolet OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Chevrolet,False,December National Incentives
1199516084497441,Cadillac Generic Sales Event MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Cadillac,False,December National Incentives
1199518801851710,Mercedes Generic Sales Event MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Mercedes,False,December National Incentives
1199515659380841,Honda OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Honda,False,December National Incentives
1199518801862710,Mazda OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Mazda,False,December National Incentives
1199518801862712,Nissan OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Mazda,False,December National Incentives
1199517241162205,BMW OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,BMW,False,December National Incentives
1199518044676389,Audi OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Audi,False,December National Incentives
1199516742522753,Acura OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,Acura,False,December National Incentives
1199518464283981,MINI OEM Incentive MO - QC & Ad Library Assignment,task,1199344102954865,Creative Updates,MINI,False,December National Incentives
1198700221615942,Volkswagen Ad Library Build,task,1199344102954866,Ad Library Build,Volkswagen,False,December National Incentives
1198844243710740,Volvo Ad Library Build,task,1199344102954866,Ad Library Build,Volvo,False,December National Incentives
1198844263048097,Toyota Ad Library Build,task,1199344102954866,Ad Library Build,Toyota,False,December National Incentives
1198700223793959,Subaru Ad Library Build,task,1199344102954866,Ad Library Build,Subaru,False,December National Incentives
1198700219138036,Porsche Ad Library Build,task,1199344102954866,Ad Library Build,Porsche,False,December National Incentives
1198844265816012,Nissan Ad Library Build,task,1199344102954866,Ad Library Build,Nissan,False,December National Incentives
1198700220494600,MINI Ad Library Build,task,1199344102954866,Ad Library Build,MINI,False,December National Incentives
1198700220630020,Mercedes Ad Library Build,task,1199344102954866,Ad Library Build,Mercedes,False,December National Incentives
1198844266559284,Mazda Ad Library Build,task,1199344102954866,Ad Library Build,Mazda,False,December National Incentives
1198700223193522,Lincoln Ad Library Build,task,1199344102954866,Ad Library Build,Lincoln,False,December National Incentives
1198844266384387,Lexus Ad Library Build,task,1199344102954866,Ad Library Build,Lexus,False,December National Incentives
1198735578557268,Land Rover Ad Library Build,task,1199344102954866,Ad Library Build,Land Rover,False,December National Incentives
1198735582255474,Kia Ad Library Build,task,1199344102954866,Ad Library Build,Kia,False,December National Incentives
1198735582185995,Jaguar Ad Library Build,task,1199344102954866,Ad Library Build,Jaguar,False,December National Incentives
1198735580317789,Hyundai Ad Library Build,task,1199344102954866,Ad Library Build,Hyundai,False,December National Incentives
1198844263767604,Honda Ad Library Build,task,1199344102954866,Ad Library Build,Honda,False,December National Incentives
1198700221195155,Genesis Ad Library Build,task,1199344102954866,Ad Library Build,Genesis,False,December National Incentives
